CVE, V3 Score, V3 Vector, V2 Score, V2 Vector
CVE-2019-7287,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-7483,7.5 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2018-8405,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-5410,7.5 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2020-0796,10.0 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2021-27085,7.5 HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.6 HIGH,(AV:N/AC:H/Au:N/C:C/I:C/A:C)
CVE-2021-37973,9.6 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2021-21166,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2020-1938,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2015-0071,N/A,N/A,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
CVE-2014-4404,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-0211,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2016-7262,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2020-10148,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2020-8468,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,6.5 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
CVE-2021-31199,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2021-28550,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2016-4656,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-1870,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2014-8439,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2017-6316,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-4428,9.1 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2015-3043,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
